Plot Number,Zone,Subzone,Site Series,Accuracy,Latitude,Longitude,Elevation
0112901,ESSF,dkw,,,49.24499893,-115.7656021,2050
0112902,ESSF,dkw,,,49.26055908,-115.7647018,2025
0112904,ESSF,dk1,103,,49.25833893,-115.7581024,1950
0112907,ESSF,dkp,,,49.19139099,-114.7018967,2440
0112908,ESSF,dkp,,,49.19166946,-114.7058029,2385
0112909,ESSF,dkp,,,49.19166946,-114.7082977,2375
0109218,ESSF,wm4,111,,49.55270004,-116.135498,1775
0109223,ESSF,wm4,102b,,49.38319016,-116.1433029,1575
0109225,ESSF,wm4,102b,,49.30197906,-116.2408981,1725
0112912,ESSF,dkp,,,49.18972015,-114.7208023,2295
0112916,IMA,dk,,,49.97694016,-116.2397003,2530
0112917,ESSF,dkp,,,49.97333908,-116.2341995,2400
0112920,ESSF,dkp,,,49.97499847,-116.2213974,2365
0112923,IMA,wm,,,49.52666855,-116.4533005,2600
0114503,ESSF,wcp,,10000,49.98661041,-117.1517029,2370
0114504,ESSF,wcp,,10,49.98632813,-117.1532974,2325
0114505,ESSF,wcp,,10,49.98577881,-117.1539993,2295
0114511,ESSF,wmp,,100,49.49444962,-116.9145966,2320
0114791,ESSF,mwp,,100,49.1638298,-120.7723007,2225
0114792,ESSF,mwp,,10000,49.16588974,-120.7787018,2225
0114793,ESSF,mwp,,100,49.16717148,-120.7802963,2200
0114795,ESSF,mwp,,10,49.16878128,-120.781601,2140
0114798,ESSF,mwp,,10,49.27421951,-121.0044022,2015
0116535,IMA,dc,,10,51.46281052,-120.0374985,2290
0116597,ESSF,,,10000,49.39281082,-117.4162979,1840
01kSB01,ESSF,dv,05,,50.97027969,-122.4113846,1630
01kSB02,ESSF,dv,01,,50.96972656,-122.4116669,1635
01kSB04,ESSF,dv,01,,50.98361206,-122.4124985,1570
01kSB07,ESSF,dv,01,,50.98944473,-122.1916656,1675
01kSB16,ESSF,dv,04,,50.97638702,-122.1399994,1630
01kSB17,ESSF,dv,04,,50.97861099,-122.1730652,1590
01kSB22,ESSF,dv,01,,50.9794426,-122.1783371,1615
01kSB23,ESSF,dv,01,,50.96638489,-122.1302719,1550
01kSB24,ESSF,dv,01,,50.96694946,-122.128891,1550
01kSB25,ESSF,dv,04,,50.96611404,-122.1202774,1550
01kSB26,ESSF,dv,01,,50.9655571,-122.1263885,1580
01kSB27,ESSF,dv,01,,50.96583176,-122.1244431,1572
01kSB28,ESSF,dv,01,,50.96500015,-122.124176,1570
02-0658,BAFA,mw,,,51.72277832,-124.6564026,2120
02-0659,BAFA,mw,,,51.72082901,-124.6631012,2080
02-2584,ESSF,wmw,,,49.80305099,-116.3414001,2070
02-2586,ESSF,wmp,,,49.80611038,-116.3293991,2295
02-0740,IMA,mm,,,51.28443909,-117.1010971,2450
02-0741,IMA,mm,,,51.28556061,-117.1010971,2460
02-0745,IMA,mm,,,53.33805084,-120.1097031,2120
021105,ESSF,wcp,,,53.13188171,-121.4643021,1916
021126,ESSF,wcp,,,52.18027878,-120.6334991,2010
021132,ESSF,wcp,,,52.69630051,-120.8243027,2060
021162,ESSF,wcp,,,52.46268082,-120.6391983,2043
021163,IMA,wc,,,52.46657181,-120.6555023,2170
02-2544,ESSF,dkp,,,49.0288887,-114.2671967,2330
02-2564,ESSF,dkp,,,49.03277969,-114.2605972,2300
02-2589,ESSF,wmp,,,49.80805969,-116.3416977,2395
02-2590,ESSF,wmp,,,49.80860901,-116.3469009,2290
02-3085,ESSF,mwp,,,49.14056015,-120.7638931,2044
02-3089,ESSF,mwp,,,49.14989853,-120.7567673,2136
02-3090,ESSF,dcp,,,49.14612961,-120.7544632,2119
0300853,ESSF,dk1,04,,50.06275177,-115.8973007,1750
0300855,ICH,mk4,03,,50.04990005,-115.8871002,1625
0300929,ESSF,dku,01,,50.72486115,-116.5543976,2250
0300932,ESSF,dkw,103,,50.72068024,-116.5438995,2125
07DM114,ESSF,wm4,103.1,,49.29291916,-116.8831024,1910
08-2323,ESSF,wm3,103,9,49.29219818,-117.0353012,1796
08-0068,BAFA,un,,100,51.89582062,-125.6334991,1910
08-0184,IMA,xv,,10000,51.81332016,-125.0389023,2090
08-0186,ESSF,xvp,,1000,51.80641937,-125.039299,2030
08-0187,ESSF,xvp,,10000,51.80653,-125.0435028,2060
